node1,node2,weight,zids
update_description(Card),run_integration(),3,"['97159 : parent_card/test_description.py/test_update_description_with_special_characters', '97160 : parent_card/test_description.py/test_update_description_with_numbers', '97155 : parent_card/test_description.py/test_update_description_in_lk']"
update_description(Project),run_integration(),1,['97156 : parent_card/test_description.py/test_update_description_in_prm']
verify_description(Card),goto_prm(),1,['97156 : parent_card/test_description.py/test_update_description_in_prm']
delete_description(Card),run_integration(),1,['97157 : parent_card/test_description.py/test_delete_description_in_lk']
update_scheduled_start_and_finish(Project),run_integration(),2,"['97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish', '97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']"
verify_planned_finish(Card),goto_prm(),1,['97706 : parent_card/test_planned_dates.py/test_scheduled_start_scheduled_finish']
verify_lk_planned_finish(Project),goto_lk(),1,['97712 : parent_card/test_planned_dates.py/test_updated_planned_start_planned_finish']
MultipleProjects(PRM),run_integration(),1,['97152 : parent_card/test_priority.py/test_update_priority']
update_title(Card),run_integration(),3,"['98486 : parent_card/test_title.py/test_update_card_title_with_numbers', '98487 : parent_card/test_title.py/test_update_card_title_with_max_length', '98485 : parent_card/test_title.py/test_update_card_title_with_special_character']"
verify_name(Project),goto_lk(),3,"['98486 : parent_card/test_title.py/test_update_card_title_with_numbers', '98488 : parent_card/test_title.py/test_update_prm_project_name', '98485 : parent_card/test_title.py/test_update_card_title_with_special_character']"
verify_truncated_name(Project),goto_lk(),1,['98487 : parent_card/test_title.py/test_update_card_title_with_max_length']
update_name(Project),run_integration(),1,['98488 : parent_card/test_title.py/test_update_prm_project_name']
verify_default_lk_top_lane(Project),goto_lk(),1,['97705 : parent_card/test_top_lane.py/test_top_lane_field']
